Type of session;Priority;Action Group;Session Code;Session Title;Date and time of the session;Date and time of the session2;Room;Session Summary;Session schedule;Keywords;Projects included;Convening organizations and session coordinators;Other organizers;Duration of the session;Expected outcomes
Ordinary Thematic Session;Water for Rural Development;2E Engage and empower rural communities to be the drivers of social-economic development through water ;2,00E+03;Innovative technologies and productive waters to empower rural communities;Monday 21st of March from 14.00H to 15.30H;Monday 21st of March from 14.00H to 15.30H;Room 7;In this session, the panelists will provide insights, and highlight examples, of how smallholder farmers can be empowered through the introduction of innovative irrigation and water management technologies and knowledge, combined with innovative education, communication, financing and institutional platforms, to secure sustainable and equitable year-round access to water, put it to productive and profitable use, and adapt-to-climate-change, all while maintaining their water resources.;"-      Welcome and introduction [10’]
-	5 introductions of 5 mn based on examples [25’]
-	Discussion Panel on questions raised in the assembly [50’]
-	Key messages and Conclusion [5’]

";Innovative technologies and institutions, Circular food systems, water saving, farmer-led-irrigation, innovative education;"This item is dealing with innovative technologies to promote a sustainable and equitable access of farmers to the productive water. 

A leaflet to resume all the projects included (from speakers and panelists) will be printed. At least, here the list of projects from the 5 invited speakers : 

-	Martin Fisher (KickStart International, USA)
Scaling low-cost smallholder irrigation across sub Saharan Africa : what works and why

-	Henning Bjornlund (IWRA and UniSA, Australia)
Transforming small-scale irrigation schemes in southern Africa’ (TISA)

-	Laura Le Floch (Secours Islamique France, Pakistan)
Strengthen the resilience of vulnerable communities facing climate change, through sustainable WASH and agriculture solutions (Pakistan, Tharparkar disctrict)

-	Romain Dubreuil (VERGNET HYDRO, France; RDC)
Construction of hybrid solar-powered water systems for the NTSIO agroforestry project (DRC)

-	Didier Orange (INOWASIA, IRD, France; Vietnam, Laos, Cambodge)
INOWASIA, an innovative education platform promoting the Living Lab approach
";"KickStart International 

IWRA 

IRD 
";"KickStart
IWRA
SIF
VERGNET-HYDRO
ESF (Electriciens Sans Frontières)
AMETEN 
COSTEA (INRAe, AVSF, BRL ; Algérie, Sénégal, Cambodge)
Santé & Territoires (CIRAD, ISRA, …)
IRD / CERAAS
LATEU (IFAN, UCAD)
INOWASIA (Erasmus+)";90';"Expected outcomes, impacts, and follow-up linkages with events and initiatives after the Forum/Résultats attendus, impacts, et liens de suivi avec les événements et initiatives après le Forum *

This session will advocate for a paradigm change to ensure the sustainable intensification of agricultural, food and nutritional security in sub-Saharan Africa through the sustainable use of surface and groundwater by smallholder famers to enhance their productivity and incomes through introduction of new technologies.

The key political message will be: Empower smallholder farmers in SSA through the introduction of new technologies, new policies, innovative education and systems that enhance sustainable and equitable access to, and use of, groundwater and surface water for productive and sustainable smallholder farming, through the following concrete actions:

1. Introduce country level policies, education, structures and funding that promote the widespread up-take and use of technologies that enable smallholders to sustainably use groundwaters and surface waters to irrigate their farms and increase their year-round yields and incomes. 

2. These may include: Adjusting duties/taxes on relevant water/irrigation technologies; Incorporating training on sustainable irrigated farming and water use into agricultural curricular; Widely promoting, with extension and demonstrations, the use of sustainable irrigation and water conservation technologies and practices through innovative education in the universities (Problem Based Learning #PBL, Living Lab #LL, Nature Based Solutions #NBS); Providing ‘smart subsidies’ to increase the uptake and use of relevant smallholder irrigation and water monitoring technologies; Providing ‘loan guarantees’ to financial institutions that finance smallholder irrigation; Creating new policy frameworks and/or institutions that promote, monitor and/or regulate the sustainable use of local water resources, etc. 

3. Advocate for the improvement of global and local water governance in conjunction with structures dealing with food and agriculture issues, through the creation of an intergovernmental structure on Water&Food as part of the UN and approved by Member States.


"
Ordinary Thematic Session;Water for Rural Development;2E Engage and empower rural communities to be the drivers of social-economic development through water ;2,00E+04;The role of women in irrigation management;Wednesday 23rd of March from 10.45H to 12.15H;Wednesday 23rd of March from 10.45H to 12.15H;Room 5;The overall objective is to empower smallholder farmers through a better involvement of women group within irrigation systems and water management. The session will document the challenges facing rural producers and women arena in terms of access and control of irrigation water for the sustainability of agricultural activities and market gardening.;"-      Welcome and introduction [10’]
-	6 introductions of 5 mn based on examples [30’]
-	Discussion Panel on questions raised in the assembly [45’]
-	Key messages and Conclusion [5’]
";Irrigation, Productive water, Gender agenda, Saving waters, Food/Energy/Health nexus;"A leaflet to resume all the projects included (from speakers and panelists) will be printed. At least, here the list of projects from the 6 invited speakers :

-	Laure Tall (IPAR, Sénégal: Guinée, Sénégal)
La transition énergétique pour l’autonomisation économique des femmes à travers la chaine de valeur horticole dans un contexte post-Covid en Guinée et au Sénégal

-	Mamadou Mballo (CICODEV, Sénégal: Sénégal)
Irrigation for market gardening : the AMOPAR project

-	Pauline Ndiaye (ENDA-Pronat, Sénégal: Sénégal)
De l’eau et du solaire pour le bien-être et le développement des communautés rurales

-	Jean Comby (ESF, France: Burkina Faso, Bénin, Togo)
SISAM, solution d’irrigation solaire améliorée

-	Armelle Perrin-Guinot (Veolia, France: Niger)
The Oasis project, to support the economic integration of women through entrepreneurship

-	Mariet Verhoef-Cohen (WfWP : Kenya)
Women, Water & Leadership
";"IPAR, Sénégal,  
ENDA-Pronat,
IRD";"CICODEV
Veolia
ESF (Electriciens Sans Frontières
UGB
Université du Cape, Afrique du Sud
FAO:
COSTEA (INRAe, AVSF, BRL ; Algérie, Sénégal, Cambodge)
SIF
Women for Water
Youth People
";90';"This session will advocate to support the economic integration of women through entrepreneurship and to raise awareness among them, as well as a wider audience of the issues related to water-related activities for sustainable development, natural resource conservation and market gardening. 

The key political message will be: Empower smallholder farmers in SSA through the support of women groups into irrigation projects for market gardening, through the following concrete actions:

1. Introduce country level policies, education, structures and funding that promote the widespread up-take and use of adapted technologies that enable women smallholders to sustainably use irrigation technology for the market gardening and increase their year-round yields and incomes. 

2. These may include supportive actions and national programmes for women involvement in irrigation management for market gardening. It could be by: Adjusting duties/taxes on relevant water/irrigation technologies; Incorporating training dedicated to women groups on sustainable irrigated farming and water use into agricultural curricular; Widely promoting, with extension and demonstrations, the use of sustainable irrigation and water conservation technologies and practices ; etc. 

3. Advocate for the improvement of global and local water governance in conjunction with structures dealing with food and agriculture issues, through the creation of an intergovernmental structure on Water&Food as part of the UN and approved by Member States to emphasize the role of women groups in irrigation management for market gardening.
"
Ordinary Thematic Session;Water for Rural Development;2F  Harmonize the rural-urban divide to curb migration ;2F1;Towards more policy coherence regarding the migration-water nexus in the context of rural development;Wednesday 23rd of March from 10.45H to 12.15H;Wednesday 23rd of March from 10.45H to 12.15H;Room 4;There are large opportunities on the migration-water nexus in rural areas – for example through the development of green and decent employment projects, especially for the empowerment of women and youth, the inclusion of migrants and the sustainability of water resources, both in the territories of origin and destination. The session will explore how adapted and coherent policies can help us realize these opportunities.;"- Welcome by the Session coordinators and poll of the participants (5 min)
- Keynote introduction to the water – migration nexus in rural development (10 min)
- Practitioners perspectives - panel: What are the realities embodied into the water and migrati";Migration-Water-Coherence- Policy-Resilience;"? Towards Mainstreaming the Migration, Environment and Climate Change Nexus in Policies in Niger, IOM
? Building the Resilience of Communities Affected by Climate Change and Environmental Degradation in Guinea, IOM
? Implementing Global Policies on Environmental Migration and Disaster Displacement in West Africa, IOM
? Knowing water better: Towards fairer and more sustainable access to natural resources for greater food security in Rwanda, Senegal and Sri Lanka, FAO";"IOM
Global Water Parnership";"Caritas,
- Italian Agency for Development Cooperation,
- FAO,
- OIM,
- UN Habitat,
- Ziguinchor University,
- Turkish Water Institute";90';"? Recommendations for an improved policy-dialogue and evidence-based and inclusive policymaking on migration and water in the context of rural development
A compendium of recommendations on the migration water nexus in the context of rural development will be produced and will be submitted to the water community and decision-makers, to the Summit of Heads of State, and major international institutions. Ultimate target of this action is youth, migrants (labour migrants, returnees, internal migrants, diaspora) and women (gender)."
Ordinary Thematic Session;Water for Rural Development;2F  Harmonize the rural-urban divide to curb migration ;2F2;Are water deficits and extreme events increasing migration and displacement?;Thursday 24th of March from 9.00H to 10.30H;Thursday 24th of March from 9.00H to 10.30H;Room 4;There is growing evidence that water scarcity, changes in precipitation patterns and extreme weather events combined with socioeconomic vulnerabilities are driving migration and displacement.  In 2016, climate and water-related disasters were responsible for displacing 23.5 million people.  Closing the knowledge gaps by gathering statistics, data and information on migration and its drivers, is key to support evidence-based policies, programmes and investments to tackle migration. There is no clear, simple solution but while the cost of responses to migration is concerning for States, the cost of no decisions will certainly surpass it. ;"•	Welcome and introduction by the Session coordinators and poll of the participants (5 min)


•	General overview on current knowledge about migration and water (10 min)
 Presentation on available data and information at global level (IOM) (10   min)
  Presentation of climate migration projections (TBC)  (10 min)

•	Regional perspectives (North Africa and Middle East, Africa, Central Asia, Latin America and the Caribbean)  - 30 min

The role of migration as climate change adaptation strategy in the Near East and North Africa region (FAO) 

UNU CRIS (Causality and Regional  (Africa) Trends of Displacement  from Water and Climate Crisis- focus on pastoral communities , tactical measure for managed migration-climate diplomacy for negotiating organised and orderly migration pathways )

Other regions (TBD)

•	Expert panel discussion on knowledge gaps ( 20 min) 


•	Q/A session (15 min)";Migration- Water - Data and information – Knowledge gaps - Policy Response ;"-	Addressing climate- and water-driven migration and conflict interlinkages to build Community Resilience in the Congo Basin

-	The role of migration as climate change adaptation strategy in the Near East and North Africa region. 

-	One million cisterns ";"FAO
UNU  
";"IOM
GWP
Italian Agency for Development Cooperation, 
Turkish Water Institute Caritas 
UN Habitat
Ziguinchor University 
";90';Brief conclusion report summarizing findings and setting a framework to bridge knowledge gaps
Ordinary Thematic Session;Water for Rural Development;2F  Harmonize the rural-urban divide to curb migration ;2F3;Towards action: maximize the inclusion of youth, migrants and women into rural development and mitigate the water related root-causes of migration;Tuesday 22nd of March from 10.45H to 12.15H;Tuesday 22nd of March from 10.45H to 12.15H;Room 6;"The 2F3 session's main objective is to promote water resource management experiences/initiatives in rural areas, implemented in climatic contexts characterized by frequent water scarcity, possible root-cause of migratory phenomena, both internal (from rural to urban) and to neighboring countries.

The experiences/initiatives presented, financed and/or implemented by governmental organizations (Italian Agency for Development Cooperation, AICS), United Nations (Food and Agriculture Organization, FAO), OECD and non-governmental organizations (among others, Caritas and AFEMAC), allow to become acquainted with field activities and with the main stakeholders involved.

Special focus of the experiences/initiatives is given to the inclusion of youth, potential migrants and women into agriculture and rural development activities, with a particular attention paid to agricultural water management.
";"- Expected time for presentations: 60 minutes (5/6 presentations, 10/12 minutes each);
- Panel discussion and Q&A: 30 minutes
";Water resource management, arid and semi-arid areas, rural development, agriculture, migration;"1.	Italy, AICS: “Drought Resilience and sustainable livelihood Program”;
2.	FAO: “One million tanks for the Sahel”;
3.	OECD: “Women in water decision-making”;
4.	AFEMAC: “Agroécologie, gestion intégrée des ressources en eau et diaspora”;
5.	DRC, Ministry of Mines: “Le dérèglement climatique et la qualité/quantité des ressources en eau comme facteurs de l’exode rural”;
6.	Caritas Senegal: “Facilitating access to water for sustainable food and nutrition security”; (TBC).
";"AICS
FAO
AICS, Regional Office Addis Abeba
OECD
AFEMAC
DRC, Ministry of Mines
Caritas Senegal
";"University of Ziguinchor; other organizations and stakeholders connected to the FAO initiative could be included in the session";90';The ambition of the 2F3 Session is to stimulate the establishment of a Community of Practice that could formulate indications to identify initiatives (especially in arid and semi-arid areas) that could have a possible positive impact on the mitigation of water related root-causes of migration in rural areas. At the same time highlight the importance of identifying a reliable energy source that can improve/enhance the sustainability/reliability of a water scheme.
Ordinary Thematic Session;Cooperation;3A Implement IWRM at all levels;3A1;Building a cross-sectoral governance without boundaries at all levels;Tuesday 22nd of March from 13.30H to 15.00H;Tuesday 22nd of March from 13.30H to 15.00H;Room 5;Cross sectoral governance without boundaries at all levels, with the presentation of handbooks/guidebooks, shared lessons, and methodologies about decision processes, implementation, good practices, and innovative methodologies of IWRM.;"Introduction: 5 min by master of ceremony – 
Key note speech (15 min) 
(both on the Somone basin and Niayes cooperation projects)

Panel (40 min)
?	Lessons from Corporate Water Stewardship on cooperation for watershed preservation – focus on Asia.
?	 Integration of conventional and non-conventional resources and allocation processes for an efficient water use in Spain.
?	SDG-aligned IWRM policies in the Federal District of Brazil.
?	Case studies of cross-sectoral and multi-level governance under the OECD Water Governance Programme.

Q&A and discussions on the construction of a multi-scale IWRM: [15 min]
First reaction Youth Water Parliament North America
Closing and Key messages – [5 min ]
";"•	Cross-sectoral water governance 
•	IWRM without boundaries 
•	Corporate stewardship 
•	Local participation 
•	Appropriate decision-making
";"Project 1 – Capacity building via city basins dialogue: how to reconnect cities to their watershed (showcase of new guidebook with case studies around the world). Europe Paris, Africa Dakar, USA: San Fransisco, Latin America: Mexico City

Project 3 – Processes and benefits of selecting the appropriate method to take decision among all stakeholders – Senegal – rural areas
Project 4 – Lessons from Corporate Water Stewardship on cooperation for watershed preservation – examples in Asia
Project 5 – Good practices and innovative approaches including public participation, innovation, and SDG-aligned policies (Brazil, Spain, Japan)
";"Regulatory Agency for Water, Energy and Sanitation of the Federal District [ADASA, Brazil]  
International Network of Basin Organizations [INBO] ";"
French National Committee IHP UNESCO, French Water Partnership FWE
CEO Water Mandate and Danone as member
Ministry for the Ecological Transition and the Demographic Challenge / Deputy Directorate for Water Planning [MITERD/DG Water, Spain]
International Lake Environment Committee Foundation [ILEC, Japan]
Inter-American Development Bank [IDB]
Seine-Normandy Water Agency [AESN]
";90';"•	Guidebook/handbook as a decision-making tool to implement IWRM at the city level
•	Portfolio of experiences, good practices, and lessons learned on promoting cross-sectoral IWRM governance at all levels
•	Involvement and dissemination of the theme, resulting in water positive impacts and multi benefits with its implementation in different places throughout the world.
"
Ordinary Thematic Session;Cooperation;3A Implement IWRM at all levels;3A2;Developing capacity for the design and implementation of development plans for IWRM;Wednesday 23rd of March from 13.30 to 15.00H;Wednesday 23rd of March from 13.30 to 15.00H;Room 5;"This session aims to share experiences, techniques and methodological tools for capacity building in the design and implementation of IWRM at all levels. To this end, several initiatives from different contexts – both from the South and the North – and carried out by a variety of stakeholders will be presented. As this is a participatory session, public will also be invited to take part in exchanges in order to feed reflections related to the initiatives presented.
";"Opening & master of ceremony (5 min)
?	Mr. Alain Bernard, Director for Africa, Asia & the America, 
Head of IWRM projects, International Office for Water (OiEau)

Keynote speaker (10 min)
?	Mr. Thierry-Emmanuel Ratovoniania, Technical director general, ministry of Water, Sanitation and Hygiene, Madagascar: design & implementation of the Itasy lake basin management plan – Madagascar (To Be Confirmed)

Panel (45 min)
Moderated by:
?	Mr. Hamet Diallo, Head of project in integrated water resources management for the NGO GRET
Panelists:
?	Mr. Ngor Maurice Sarr, Research and animation officer, GRET: Experimentation of a participatory facilitation methodology that questions sharing of water resources between users/territories: feedback from GIREL project (for Integrated water resources management at local level) – Senegal
?	Mr. Etienne Delay, Researcher, CIRAD: Overview of a “serious game” promoting identification by stakeholders of collective water resources management rules related to agricultural uses: case of the board game “F’eau Djëm” – Senegal
?	Mr. Juan Carlos Alurralde, Secretary general, Intergovernmental Coordinating Committee for the la Plata River (CIC) : (To be determined/confirmed)
?	Ms. Oula Amrouni, Researcher of the UNESCO MEDFRIEND Network,  
and at the National Institute of Marine Sciences and Technologies, Tunisia : Capacity building to support  water stakeholders, particularly at international level in the frame of UNESCO ICIREWARD International Centre (To Be Confirmed)

Questions and answers (20 min) 

Conclusion (10 min) Ms. Catherine Baron, Researcher LEREPS/Sciences Po Toulouse France

";"-	Water resources sharing
-	Methodology for decision making and groundwater allocation
-	Serious game
-	Nature-based solutions (NBS)
";"Project 1 – Tailor-made methodologies of water sharing – equity, facilitation at local scale of the watershed (Senegal)
Project 2 – Virtual arena board game to take decision, to regulate groundwater allocation with stakeholders – explain rules, show how it works and benefits (Senegal)

Project 4 –  IWRM and nature-based solutions : River restoration and sustainable agriculture in the lake Itasy watershed (Madagascar)
Project 5 – ICIREWARD French UNESCO center based in Montpellier (France)
";"Gret 
DGPRE, Senegal
INBO ";"Project 1 – GRET (NGO Professionnels du développement solidaire) and DGPRE of Senegal (Direction de la gestion et de la planification des ressources en eau);
Project 2 – CIRAD (Centre de coopération internationale en recherche agronomique pour le développement) ;

Project 4 – AERMC (Agence de l’eau Rhône-Méditerranée-Corse) and the French water partnership; 
Project 5 – IRD (Institut de recherche pour le développement), University of Montpellier and the French national committee of UNESCO IHP 
Intergovernmental Coordinating Committee for the la Plata River (CIC) 
";90';Synthesis document gathering different experiences, good practices and lessons learned on the sharing of water resources between territories and users (political solutions), as well as on the mobilisation of SFN system (technical solutions).  
Ordinary Thematic Session;Cooperation;3A Implement IWRM at all levels;3A3 ;Financing our future: shared funding mechanisms for managing shared water resources;Monday 21st of March from 14.00H to 15.30H;Monday 21st of March from 14.00H to 15.30H;Room 3;This session provides an overview of how countries are financing the protection of their water resources (river, lakes, groundwater) from multiple funding sources. The session will share specific experiences in national and sub-national financing mechanisms from East and West Africa and Latin America. Participants will be encouraged to share their experiences related to fimancing during the discussion session to enhance the common understanding.;"•	Opening & master of ceremony (GWP): 5 minutes
•	Keynote (UNEP): Global status of funding requirements for IWRM (based on SDG 6.5.1 reporting) (10 mins)
•	Panel presentations (see above) (5 mins each, total 25 mins):
User Pays / Polluter Pays principles and Payment for Environmental Services for ensuring water security and sustainable agricultural practices in water conflict basins.
Mobilizing financial resources for IWRM from water users in Burkina Faso.
financing of IWRM at the scale of the Senegal basin
Rethinking the IWRM continuum of investment to accelerate project scale and impact.

•	Panel response (World Bank, tbc) (5 minutes): A donor perspective on the panel discussion. 
•	Facilitated discussion (35 mins)
•	Conclusions (10 mins): reflections on funding IWRM from a national government perspective and call to action for funding IWRM to achieve the water-related SDGs.


";Financing, IWRM, sustainable revenue, blended ;"-	Project 1: OMVS: Funding IWRM and related social benefits at the transboundary level 
-	Project 2: Burkina Faso: National revenue system 
-	Project 3 : ADASA/Brazil: User/polluter pays / Payment for Environmental Services 
-	Project 4: Danone: Rethinkin";"GWP 
UNEP-DHI 
";World Bank (tbc);90';Key messages related to financing of IWRM based on exchange of lessons learned, summary document to be used as input for the next round of reporting on SDG 6.5.1
Ordinary Thematic Session;Cooperation;3A Implement IWRM at all levels;3A4 ;Provinding water information to decision makers at national, regional levls and to water users at local level;Tuesday 22nd of March from 10.45H to 12.15H;Tuesday 22nd of March from 10.45H to 12.15H;Room 12;Implementation of Integrated water resources management - a process connecting environment preservation and improvement of social and economic conditions of communities at all levels - requests to relay on sciences based knowledge and information. Information plays a key role to involve local stakeholders in participative approach , and also at national level to take decision. Information and Communication technologies, Remote sensing, water monitoring of watersheds, networking bringing scientific outcomes to stakeholders, toolbox…. All these are crucial to improve and strengthen IWRM at all levels. Various projects of implemented studies will be shared in two parts in the frame of this session, one dedicated to Stakeholders inclusion to IWRM at all levels, and the second one from international network on hydrology to technical information as well as from remote sensing to modeling and forecasting. Solutions are implemented in various countries around the world, the panelists come from NGOs, INGs, Ministry, Water Agency and academic institutions.v;"Introduction of session by moderator master of ceremony – 5’

Part 1 – Stakeholders inclusion to IWRM at all levels – [25 min]
FAO – Water and agriculture information systems for IWRM – FAO tools to involve stakeholders in data collection, analysis, examples in Asia and Africa

GWP – IWRM Action Hub 2.0 – 90 tools + 2500 case studies – focus on Asia

Benefits related to selection by stakeholders of voting system and knowledge production/sharing to facilitate decision-making in water resources management: feedback from GIREL project (for Integrated water resources management at local level) - Niayes area, Senegal

Benefits of open access water resources information to IWRM in Brazil – Federal district - ADASA

Exchange Round table with panelists and audience – 15’

Part 2 – From international network on hydrology to technical information as well from remote sensing to modeling and forecasting water resources – [25  min]

Use international networks to define research priorities for development and disseminate results to stakeholders – Africa – IRD/FRIEND Water Africa PHI UNESCO, IAHS

Combining spatial data with modeling to supplement in situ hydrometeorological information –BIO PLATEAU Project (Brazil, France, Suriname) [State of Amapá in Brazil, Ministry of Public Works of Suriname, European Commission, Territorial Collectivity of French Guyana, ODE - Guyana, CNES, OiEau)

From water information data towards water resource forecasting – France Exploring the conditions for a successful DSS towards better integrated water resources management.(BRGM/PFE)

Exploring the conditions for a successful DSS towards better integrated water resources management. (IWA/Water Youth Network)

Exchange Round table with panelists and audience – 15’

Closing and 3 key messages from the session– 5’
";Stakeholders, open access, toolbox, groundwater forecasting, spatial data;"Project 0 – Water and agriculture information systems for IWRM – FAO tools to collect, analyse and disseminate data on water and agriculture + stakeholders involvement in data collection and analysis at national and local level in SDG 6.4 monitoring, examples in Africa & Asia 
Project 1 - IWRM Action Hub 2.0 – 90 tools + 2500 cases studies -GWP -global – focus in Asia and Africa
Project 2 – stakeholders participative approach on water resources monitoring at local scale, benefits in terms of knowledge for IWRM – Senegal – Niayes area
Project 3 – Benefits of open access water resources information to IWRM in Brasil
Project 4 – Use international networks to define research priorities for development and disseminate results to stakeholders - Africa 
Project 5 – Combining spatial data with modeling to supplement in situ hydrometeorological information –Latin America (Brasil)
Project 6 – From water information data towards water resource forecasting – France –
Water Youth Network contribution
";"CNFrance IHP UNESCO/PFE-FWP 
INBO/RIOB 
";FAO, GWP, Gret, ADASA Brazil, FRIEND IHP, French Water Partnership,CNES, OIEAU, IRD, BRLi,  AFD, BRGM, Water Youth Network;90';"Expected outcomes / impacts : key message to integrate and implement new tools and approaches to allow participative approach of local stakeholders, and build on shared best practices on monitoring, modeling to make decision at various levels (national, regional, local). 
Follow up linkages with events and initiatives after the Forum: at International conference Groundwater and SDGs challenges Paris May 2022 with a special focus on aquifer knowledge at all scale, regional and transboundary, as well as multidisciplinary approaches for IWRM and SDGs, at International Assembly of IAHS Montpellier May 2022 with hydrological monitoring and FRIEND initiatives, and others. 
"
Ordinary Thematic Session;Cooperation;3B Implement transboundary cooperation to foster peace and prevent conflicts;3B1 ;Water as a tool for cooperation, peace, and stability ;Tuesday 22nd of March from 10.45H to 12.15H;Tuesday 22nd of March from 10.45H to 12.15H;Room 7;This session will showcase examples on the role of transboundary water cooperation as a tool for peace. The speakers will present several tools and mechanisms for dialogue and cooperation over transboundary water resources, and the levers they can bring to foster stability and prevent tensions. ;"Tentative programme
Opening by moderator – Mr. Harry LIIV, (Chair of the Bureau of the Water Convention, Ministry of the Environment of Estonia) 
Short roundtable with all panellists: each panellist explains its initiative - (5 minutes each, total 30 minutes)
First question from the moderator: How can water dialogue transform potential of tension into cooperation potential? Answer from IUCN and youth representative – (10’)
Second question: How can regional approach to water cooperation foster stability in a region? Answers from SUEN, Ministry of Regional Development Brazil,  Water Diplomacy Center – (15’)
Third questions: What are innovative tools to reinforce transboundary water cooperation for peace and conflict prevention? Answer from  UNCDF and GWP – (10’)
Discussion - (15')
Final messages by the panellists – (2 minutes each, total 14’)
Conclusion by the moderator – (5’)
Total 90 minutes
";peacebuilding, financing for cooperation, water diplomacy, Blue Peace, conflict prevention;"Project 1 – Blue Peace in the Middle East: Regional collaboration on water  
Project 2 – Identifying conflict-sensitive areas at the Amazon Basin
Project 3 - Shared Waters Cooperation Facility
Project 4 - Blue Peace-OMVG 
Project 5 - Source to Sea approach in governance of transboundary waters and adjacent coast and seas/oceans
Project 6 - Supporting water diplomacy through knowledge sharing and research in the Middle East 
";"GWH 
Turkish Water Institute-SUEN 
UNECE 
Ibrahim Abd El Al Foundation for Sustainable Development";Swiss Agency for Development and Cooperation (SDC), OMVG, UNCDF;90';This session should contribute to the global efforts to reinforce the linkages between SDG6 and SDG16, as well as SDG 11 and 13.  On our common road towards the 2023 High-Level Water Decade Conference, this session should contribute to form the adequate messages for better integrating the water and peace aspect within the UN Water Decade. 
Ordinary Thematic Session;Cooperation;3B Implement transboundary cooperation to foster peace and prevent conflicts;3B2;Promoting peace by developing and implementing legal frameworks for transboundary water resources;Tuesday 22nd of March from 13.30H to 15.00H;Tuesday 22nd of March from 13.30H to 15.00H;Room 4;Transboundary water cooperation is one of the bedrocks of international security since it has proven spill over economic and peace benefits beyond the water sector. It is thus important to advance cooperation on shared water resources to promote peace. One of the well-tested and tried ways of advancing water cooperation is through the establishment and implementation of legal frameworks for transboundary water resources. This session is aimed at highlighting the tools and instruments for advancing such cooperation available for policy and decision-makers, including the United Nations global Water Conventions.;"Introduction by moderator (5 min): overview of the session programme, key topic, and questions
Introductory presentation on legal instruments governing transboundary Water Resources and how they foster transboundary water cooperation, improved water governance, sustainable development, regional integration and peace legal and institutional frameworks at the global, regional and basin level (7 min)- UNECE
Q&A (5min)
Presentation on the first question – accelerating towards operational arrangements: process, tools and guidance at the global level (15 min)
-	Accession to Global framework conventions: country perspective (country)
-	Practical Guide for the development of agreements or other arrangements for transboundary water cooperation (country)
-	benefits of participating in the monitoring of SDG indicator 6.5.2 on the status of transboundary water cooperation (country)
Q&A (5 min)
Presentation on the second question – recent developments regarding good practice of application of international water law principle at the regional and basin level 
-	Application of Water Utilization rules and procedures: Procedures for Notification, Prior Consultation and Agreement (PNPCA) for mainstream hydropower projects (5 min) - MRC
-	Example from Latina America: Garani (5 min)
Q&A (5 min)
Panel discussion on the progress, gaps and challenges regarding the development and implementation of legal and institutional frameworks based on the result of the SDG indicator 6.5.2 (Country, RBO, REC, donor, Civil Society) (15 min)
Interactive discussion (15 min)
Take Away and concluding remarks: tbd (5 min)
Closing remarks by moderator (3 min)
Total: 90’
";transboundary water, peace, international law, legal frameworks, capacity building;"Project 1. Initiative on the Global Conventions on Water to promote Water Cooperation  
Project 2. Support to the development and implementation of transboundary cooperation agreements: institutional capacity building of transboundary basin organisations and support to the accession to global water conventions
Project 3. Practical Guide for the development of agreements or other arrangements for transboundary water cooperation 
Project 4. Application of Water Utilization rules and procedures: Procedures for Notification, Prior Consultation and Agreement (PNPCA) for mainstream hydropower projects 
Project 5. Monitoring of SDG indicator 6.5.2 measuring transboundary water cooperation 
Project 6. Promoting regional transboundary cooperation and peace 
";"UNECE
Geneva Water Hub";"-	AFD (TBC)
-	INBO (TBC)
-	ECOWAS
-      OMVS
-	Nile basin discourse 
";90';This session should contribute to the global efforts to reinforce the linkages between SDG6 and other SDG such as SDG16, as well as SDG 13 and 17.  On our common road towards the 2023 High-Level Water Decade Conference, this session should contribute to form the adequate messages for better integrating transboundary water cooperation and peace aspect within the UN Water Decade. 
Ordinary Thematic Session;Cooperation;3B Implement transboundary cooperation to foster peace and prevent conflicts;3B3;Institutional basis for transboundary water cooperation, sustainability and peace ;Tuesday 22nd of March from 9.00H to 10.30H;Tuesday 22nd of March from 9.00H to 10.30H;Room 5;Effective transboundary water cooperation can only be achieved through a solid and coherent institutional framework. Adequate financing, public participation and transparency are some of the key building blocks that sustain transboundary water institutions. This session aims to explore the ways in which governance frameworks can help to provide sustainably financed institutions, foster cooperation and deliver shared benefits to water users across basins.;"Draft session schedule (expected times for presentations, panel discussions, etc.): 
Intro video for Dakar 2022 Initiative (5 minutes)

Introduction: welcome and overview of session (5 minutes)

Key note presentation: framing and giving the background for the two panel discussions (10 minutes)

Facilitated panel discussion: multiple levels of water governance deliver sustainable institutions (30 minutes incl. Q&A)

Questions for the panellists (or if preferred something more specific to their project): 
•	What are the key building blocks for sustainable institutions at the transboundary level?
•	How can governance structures work across scales and engage a diversity of stakeholders to deliver equitable water management? What is the role of institutions in this context?


Facilitated panel discussion: financing for sustainability (30 minutes incl. Q&A)
Questions for the panellists (or if preferred something more specific to their project):
•	How can we sustainably finance institutions to ensure continued capacity to deliver management of shared water resources to build cooperation? 
 

Conclusions and closing (10 minutes)
";Sustainability, transboundary, institutions, capacity;"Sharing the benefits from river basin management: from theory to practice (IUCN)
Youth for the Rhine: Exploring Sustainable Innovations in Transboundary River Basins (IHE Delft and others) 
Promoting youth/women centric transboundary water policies to unleash the potential of all social groups (Ibrahim Abd El Al Foundation for Sustainable Development and others) 
Development of a basin-wide strategy for the Mekong (MRC) 
The UNESCO BIOsphere and Heritage of Lake Chad (BIOPALT) project (UNESCO) 
Integrated Water and Territorial Planning in Border Cities
Share the river, share the future: jointly promote IWRM under the Lancang-Mekong water resources cooperation framework 
Facilitate the financing of transboundary water cooperation (UNECE) 

";"IUCN
Mekong River Commission (MRC)
UNECE";IHE Delft, Ibrahim Abd El Al Foundation for Sustainable Development, UNESCO;90';TBC
