Type of session;Session code;Date and time;Date and time2;Room;Organizer;Title of the Side Event;Keywords;Description of the session;Session length (max 60 min) / Duree de la session (max 60 min);Expected speakers;Session agenda 
Side event SE;SE48;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 11 EXPO;OFOR;Rural Hydraulics Stand;FORUM | rural;to exchange on the themes of the forom, to bring an answer to the problematic of the AEP in rural environment ;60';tbd;tbd
Side event SE;SE49;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 13 EXPO;Kampala Capital City Authority;ICT Sanitation Innovations for Effective Sanitation Service Delivery - Experiences from Uganda;Sanitation | Innovation | ICT;"The panel "" ICT Sanitation innovations for effective sanitation service delivery- sharing experiences from Uganda "" aims to share the Information and Communication Technologies (ICT) innovations and automated sanitation subsidy and financing models that public and private sector have applied to ensure effective and efficient delivery of sanitation services in Kampala City. 

At the end of the session, a call to action and recommendations will be made to politicians, municipal leaders and sanitation actors on application of ICTs to inform, improve and deliver better sanitation services to municipalities for the sanitation sector in Africa.

More specifically, it will:
•	Share ICT innovations used by municipality in Uganda to deliver sanitation services to citizens of Kampala, Uganda
•	Share the success mechanisms that KCCA has used to improve sanitation service delivery in Kampala.
•	Issue a call to action to decision-makers, politicians and Municipal heads for a better integration of Information technology tools within the sanitation sector in Africa.
";60';"Moderator - Eng Allan Nkurunziza
Speakers
- Mrs Dorothy Kisaka, Executive Director KCCA
- Dr, Eng Silver Mugisha, MD National Water and Sewerage Corporation
- Mr Shaka Bakabulindi, Executive Secretary Uganda Emptiers Asssociation
- Ms Eunice Namirembe , Innovatioons Specialist KCCA";"Presentations - 20 minutes
Group discussions - 20 minutes
Wraps up and call to action - 15 minutes"
Side event SE;SE29;Thursday 24 March, 17.00-18.00;Thursday 24 March, 17.00-18.00;Room 3 EXPO;Direction Assainissement/Administration;INSTITUTIONAL AND ORGANIZATIONAL CHANGES IN THE WATER AND SANITATION SECTOR IN AFRICA;Developments | Institutional | Governance | Access | Water | Sanitation;The session is designed as a space for exchange between participants on the governance of the water and sanitation sector and to share experiences on the institutional framework and operational mechanisms for implementing national development strategies for the water and sanitation sector in African countries. It will present the subject and the issues it covers, exchange on the institutional and organizational evolutions of the sector, evaluate the efficiency of the operationalization models of the national structures in charge of the development of the sector, and formulate strong recommendations to the public decision makers as well as to all the other stakeholders including the consumers and other users of water and sanitation services;60';"Panelists / speakers : DA / DG ONAS / Officials of other African countries
Expected moderator: CPCS/MEA SENEGAL ";"0 - 5 min.	Introduction/Context
5 - 10 min.	Introductory film
10 - 20 min.	Brainstorming with the audience on the issue: Institutional and organizational developments in the water and sanitation sector in Africa
20 - 40 min.	Presentations (10' each) 
CPCS: State of play of the governance of the sector taking into account the institutional evolutions in Senegal
DA : Evaluation of the effectiveness of the models of operationalization of the orientations of the national structures in charge of the development of the water and sanitation sector in Africa : case of Senegal 
40 - 50 min.	Discussion on the presentations 
50 - 60 min.	Key messages and conclusion"
Side event SE;SE31;Thursday 24 March, 17.00-18.00;Thursday 24 March, 17.00-18.00;Room 1 EXPO;SOMAPEP-SA;Round table for the mobilization of funds for the financing of drinking water supply works in Mali;Financing | Works | Drinking Water | Mali;"This round table aims to bring together technical and financial partners in the water sector to discuss Mali's investment needs in the area of drinking water.
The main objective of the round table is to mobilize funds to ensure the proper and sustainable supply of drinking water to localities in Mali.
It will provide an opportunity to present investment needs, identify potential partners and obtain funding commitments.
The roundtable may address some of the partners' concerns, particularly those related to security issues and sustainable financing of the sector in times of multidimensional crisis (COVID 19; Socio-political...).";60';"Bakary COULIBALY / General Manager
Modibo TRAORE / Director of Planning and Investments
Namory KEITA / Director of Operations Control
Koen Maathuis / Regional Manager West Africa / World Waternet";
Side event SE;SE37;Thursday 24 March, 17.00-18.00;Thursday 24 March, 17.00-18.00;Room 4 EXPO;AAE;Water security for health and development: What Insights for water quality from MDGs to the SDGs?;water security | quality | laboratory | capacity | peer-to-peer;"The African continent continues to be faced to major challenges in the water sector, particularly in terms of access to safe drinking water and water quality monitoring. Despite progress in recent years, 40% of the population of sub-Saharan Africa does not have access to safe drinking water. The challenge of implementing the Sustainable Development Goals (SDGs), particularly SDG 6.1 and 6.3, includes water quality. 
The Water Operators' Partnerships (WOP) approach - which promotes capacity building and knowledge sharing through peer-to-peer partnerships between water and sanitation operators has shown to be an effective way to address identification, of challenges and improving operator performance towards the MDGs.
AfWA has thus adopt this to develop and implement programs to support water stakeholders. The AfriCap program funded by USAID is one of these which comprises a component addressing mentorship to improve capacity of water quality laboratories in Africa. 
";60';"i.	Chair: Prof. Hamanth Kasan, AfWA, 
ii.	Presenter: Aw Saddat, SODECI, Cote d’Ivoire
iii. Moderator: Mr Abdoul Niang

PANELISTS
iv.	Mrs Margaret Macauley, GWCL, Ghana
v.	Mme Aude Tapsoba, MERCK, Germany
vi.	Mr Olivier Yameogo, ONEA, Burkina Faso
vii.	Prof. Yacouba Konaté, 2iE, Burkina Faso";"Opening session: Chair. 05 min
Introduction by the Moderator: 05 min
Presentation by Prof. Awa Saddat, SODECI, 10 min
Panel discussion: 35 min
Wrap up/closing by the chair : 05 min"
Side event SE;SE42;Thursday 24 March, 17.00-18.00;Thursday 24 March, 17.00-18.00;Room 5 EXPO;Ministère des Eaux et Forêts (Direction Générale des Ressources en Eau);Presentation of the document Country of Côte d'Ivoire;Vision | Water Policy | PlanGire | Governance;"In a context of scarcity, degradation and conflicts around the water resource, appropriate solutions must be found for humanity. Through this session, Côte d'Ivoire intends to show its contribution to this process of finding solutions through its experience in the field and its expectations. 
The country document, without ignoring sub-regional and continental realities, presents an overview of water resources in Côte d'Ivoire and outlines the National Plan for Integrated Water Resources Management (PLANGIRE) which is currently being updated.
Moreover, the internal capacity of mobilization of financial resources being below the needs of financing of the National Action Plan of Integrated Water Resources Management (PLANGIRE), the World Water Forum is an opportunity to be seized in order to demonstrate that Côte d'Ivoire is a useful reference for all the Development Partners wishing to accompany it in its ambitious program of operationalization of the IWRM";60';"Ministre des Eaux et Forêt
Ministre de l'Hydraulique
Ministre de l'Assainissement
Directeur Général des Ressources en Eau";15 min presentation and 45 min discussion
Side event SE;SE7;Thursday 24 March, 17.00-18.00;Thursday 24 March, 17.00-18.00;Room 2 EXPO;Ministry of Environment and Climate Action of Portugal;Bridging SDG 6 and SDG14 – sailing from Dakar to Lisbon;Freshwater | Salt water | Interlinkages | Challenges | Gaps;Panel discussion on the upcoming High-Level Symposium on Water “Bridging SDG6 and SDG 14” that will occur during the UN Ocean Conference, in Lisbon (27th of June) and the way this Symposium can contribute to the road towards 2023 UN Water Conference, putting fresh and saltwater communities working together.;60';"Secretary-General of the Ministry of Environment and Climate Action
President of the Board of the Portuguese Environment Agency
Representative of the Portuguese Ministry of Foreign Affairs/Portuguese Embassy in Dakar
Representative from UN-Water";
Side event SE;SE45;Thursday 24 March, 17.00-18.00;Thursday 24 March, 17.00-18.00;Room 8 EXPO;AGENCE NATIONALE DE L'AQUACULTURE (ANA);Aquaculture in Senegal: opportunities and challenges;Popularization of aquaculture | investment opportunities;"As objectives :
- to demonstrate the aquaculture potential in Senegal ;
- to attract potential investors;
- to show the socio-economic impact of aquaculture, its place in the improvement of food security, the creation of employment and income;
- to make visible the role of aquaculture in the conservation of biodiversity in the face of climate change;

In terms of expected results:
- the aquaculture potential of Senegal is highlighted;
- investors are attracted;
- the socio-economic impact of aquaculture, namely its role in food security and job creation, is understood by the public;
- the role of aquaculture in the conservation of biodiversity in the face of climate change is understood;
- To draw inspiration from the Senegalese model to promote the development of aquaculture in the sub-region;";60';speaker : Dr Tening SENE, Director General of ANA;20 minutes presentation and 40 minutes discussion
Side event SE;SE46;Thursday 24 March, 17.00-18.00;Thursday 24 March, 17.00-18.00;Room 6 EXPO;EUNIC Senegal;Roundtable: The role of European cultural institutes in sustainable development;Round Table | EUNIC Senegal | European Cultural Institutes | Sustainable Development;"EUNIC Senegal, the network of European institutes involved in cultural cooperation, wishes to question the role that its various members can have in sustainable development.

Aware of its capacity to raise awareness and carry out strong actions, EUNIC Senegal wishes to strengthen its impact and question its practices because cultural institutions and the art and culture sectors have a role to play in sustainable development. What is this role and how can the cultural sector contribute to sustainable development?

These questions will be addressed during a roundtable discussion that will bring together experts and will open up avenues of reflection and propose concrete actions to act in favor of a cultural policy aware of the challenges related to the environment. 

EUNIC Senegal has already begun this process, accompanying three environmental organizations: Association Zéro Déchet, ENDA Pronat and the Ethnobotanical Garden of Hann and Fandène by proposing to them to reflect on how culture can be a lever and a tool in their work. These organizations will be present and will share their experiences and thoughts on this issue.

The main objectives are to:

To show the important role that art and culture can play in terms of raising awareness of the objectives of sustainable development.

Engage in an open discussion on what cultural institutions can and should do to contribute to the fight against climate change.

To discuss the role of art and culture in sustainable development.
 ";60';tbd;tbd
Side event SE;SE17;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 1 EXPO;INRAE (Institut de Recherche Public) avec le soutien de l'AFD;Monitoring and management of cyanobacterial blooms in African water bodies;Water bodies | drinking water | eutrophication | cyanobacteria | Africa;Cyanobacteria blooms resulting from the degradation of water quality (eutrophication) in lakes and reservoirs constitute a danger to human health and impact multiple water uses, including drinking water production. In northern countries, which have been confronted with these proliferations for more than 40 years, monitoring of these microorganisms has been set up and actions have been undertaken to (i) limit the dangers for human populations and (ii) fight against these phenomena. In sub-Saharan Africa, this issue is still largely ignored by managers and users of water bodies. Based on the results of an international research program (WaSAf) that focused on three African water bodies used to supply large cities (Abidjan, Dakar and Kampala), the proposed side event will aim to stimulate dialogue and exchanges between scientists, managers and decision-makers on the causes and consequences of cyanobacteria blooms and on the monitoring and management of these phenomena. It will be based on two round tables that will be introduced by short presentations made by the researchers involved in Wasaf, before giving the floor to the audience. The first panel will focus on the vulnerability of water bodies to cyanobacterial blooms and the implementation of cyanobacterial monitoring programs, and the second will focus on the management of cyanobacterial hazards and the control of cyanobacterial blooms. ;60';Speakers: Cécile Bernard (MNHN Paris, France), Catherine Quiblier (University of Paris, France), Youssoupha Tall (IRD Senegal), Mark Olokotum (Nafirri, Uganda), Moderators: Marc Trousselier (CNRS Montpellier) & JF Humbert (INRAE, France);Two 30-minute round tables. In each round table, two introductory presentations of 5 min each followed by 20 min of discussion.
