Type of Session;Session code;Session Title;Date and time of the session;Date and time of the session2;Room;Session Summary;Session schedule;Keywords;Convening organization and session coordinators;Duration of the session
High-Level Panel;HLP18;Climate Change High-level Round-table 'Innovative Climate Solutions in Water Sector';Tuesday 22nd of March from 9.00 to 10.30;Tuesday 22nd of March from 9.00 to 10.30;Room 3;"Background
- As the world faces deteriorating environmental conditions, dense populations, and rapid economic growth, Africa and Asia are highly vulnerable to climate change. They must be considered as strategically important locations in responding to global climate change.
i) Throughout the high-level discussion on supporting multilateral cooperation, Asia Water Council aims to address the importance of the role of each stakeholder, specifically policy makers, to contribute towards the dissemination and expansion of efforts in overcoming the climate crisis and achieving the Sustainable Development Goals (SDGs).
ii) Throughout an honorable global leader’s participation, Former UN Secretary Ki-moon Ban, the session will provide a new opportunity to vulnerable climate countries via addressing the importance of worldwide solidarity and response.

The session goals
- Addressing the importance of the strategic approaches in responding to the climate change
- Emphasizing the roles of decision-makers on innovative solutions to water-related challenges in regions (incl. a presentation for the result of 'the Statement of Asia to World' initiated during the Asia World Water Week)
- Presenting expected outcomes and synergies of global climate/water platforms, such as COP, WWF, and Asia World Water Week";"(10 min) Session overview / introduction by organizers 
(10 min) Keynote Speech
(40 min) Panelist interventions - 5 min each, 6-8 panelists
(20 min) Moderated discussion
(10 min) Wrap-up & Closing by organizers";Innovative Solution | Global Platform | SWM & IWRM | Net-Zero | SDGs;Asia Water Council;90'
High-Level Panel;HLP19;Portuguese language cooperation in the framework of water supply and sanitation - political and institutional perspectives;Tuesday 22nd of March from 9.00 to 10.30;Tuesday 22nd of March from 9.00 to 10.30;Room 10;The Session intends to reflect on the role of international cooperation to the achievement of SDG6 taking into consideration concrete projects existing in Portuguese speaking countries. This session will try to identify the main successes achieved, but also the main challenges ahead. Shared experiences allow the diffusion of solutions to be adapted to each country’s reality.;"10 min.
The role of Portuguese cooperation in the water and sanitation sector on the Portuguese-speaking countries.
20 min.
Intervention by the Minister of Energy and Water of Angola in his capacity as President of the Portuguese Speaking Countries Community.
30 min.
The role of the Brazilian cooperation in the water and sanitation sector on the Portuguese-speaking countries.
40 min.
Solutions within the Portuguese-speaking countries for the global challenges – intervention by Mr. Rui Godinho, Member of the Board and Bureau of the World Water Council.
50 min.
Solutions within the Portuguese-speaking countries for the global challenges-intervention by Mr. Jorge Werneck, Member of the Board and Bureau of the World Water Council.
1h10
Intervention by the Executive Secretary of the Community of Portuguese Speaking Countries.
1h30
Questions from the floor and debate.

";WASH for all | Cooperation | Lusophony | Security;Ministry of Environment and Climate Action of Portugal;90'
High-Level Panel;HLP20;ALLIANCES FOR ODD 6 ;Tuesday 22nd of March from 9.00 to 10.30;Tuesday 22nd of March from 9.00 to 10.30;Room 201;"""SDG 6 of the 2030 Agenda wants to ""Ensure the availability and sustainable management of water and sanitation"", but the importance of water is also evident for the success of the other goals marked by the 2030 Agenda. Moreover, in the current global context of a health pandemic, water plays a central role in the economic and health recovery of states, promoting resilience, employment opportunities and health benefits and access to innovative financing. 

The MDG 6 Global Acceleration Framework was launched during the July 2020 session of the High Level Political Forum on Development to support accelerated progress by countries in five areas related to MDG 6: financing, data and information, capacity development, innovation and governance.

However, the key SDG for achieving the 2030 Agenda is SDG 17, on Alliances for the Achievement of the Goals. ""Water services are sustainable only when they are linked to sound water resources management, when governance is ensured and when the participation of all key sectors and stakeholders is strengthened"", says UN-Water in a preliminary statement directed to the ministers participating in the 2020 High Level Political Forum on Sustainable Development.
Moreover, as stated by the UN Secretary General, Mr. Antonio Guterres, during the Global Forum on SDGs, the COVID-19 pandemic has taught us that ""more than ever, cooperation, alliances and multilateralism must be at the heart of our work. 

In this session, evidence and practical experiences of successful investment in the sector will be presented, and this will open the dialogue between ministers, heads of development agencies, development banks, bilateral and multilateral partners, civil society and private sector.""";"Moderated Roundtable Discussion (8 min. each panelist)
- Vice-Minister of Cooperation (Ministry of the Exterior): The Great Alliance between the Cooperation Fund for Water and Sanitation in Latin America and the Caribbean
- Director General of Water (MITERD): CODIA and the 5+5 Initiative in the Mediterranean 
- European Commission: Team Europe and Water and Sanitation priorities 
- CAF
- EIB
- SWA
- CEO Private Sector
- Civil Society
- University
- Debates between participants  ";SDG 6 | SDG 17 | alliances | cooperation | private sector;Spanish Agency for International Development Cooperation (AECID);90'
High-Level Panel;HLP22;Exchange between transboundary aquifers on three continents ;Monday 21st of March from 14.00 to 15.30;Monday 21st of March from 14.00 to 15.30;Room 10;"The African Ministers responsible for water critically examining the global water situation and its implication for Africa in 2002 adopted the ""Abuja Ministerial Declaration on Water – a key to Sustainable Development in Africa"". This declaration established the African Ministers’ Council on Water (AMCOW). AMCOW is an intergovernmental institution of the African Union. The vision of AMCOW is an Africa where there is an equitable and sustainable use and management of water resources for poverty alleviation, socio-economic development, regional co-operation and the environment. In April 2022, AMCOW will be 20 years since its establishment. In view of this, the Secretariat with guidance from the Governing Council planned a number of activities to commemorate the 20th anniversary on the margins of the 9th World Water Forum in Senegal. These anniversary events include AMCOW@20 High Level Roundtable with continental and global leaders of the water and sanitation sector. Others are the AMCOW@20 awards and appreciation ceremony, and a high-level presidential luncheon. These events are being hosted by H E President Macky Sall, in his capacity as one of the first Vice Presidents of AMCOW. Other co-hosts are the World Water Forum; and Chair of the African Union. 
The objective of this Roundtable is for sector leaders to discuss and chart a strategic direction for transitioning the unfinished business of the Africa Water Vision into a post-2025 action framework aligned to Agenda 2063 and the SDGs. This platform also presents an opportunity to celebrate the contributions of all stakeholders to AMCOW’s journey to date.
";"•	Introduction of dignitaries and Opening Ceremony (30 minutes)
•	High Level Roundtable discussions (60 minutes)
•	AMCOW@20 Awards and Goodwill messages (60 minutes)
•	Keynote addresses (30 minutes)
•	High-level luncheon, networking and cultural entertainment (90)

";Water | Sanitation | Hygiene | Climate-resilient;African Ministers' Council on Water (AMCO);90'
High-Level Panel;HLP23;High-Level Dialogue on Mainstreaming Climate Action in the Water Sector;Thursday 24th of March from 10.45 to 12.15;Thursday 24th of March from 10.45 to 12.15;Room 9;"Objectives of the Session:
To establish a dynamic exchange of experiences between three transboundary aquifer management treaties on three continents: firstly the major developments on governance in the last two years on the Senegal-Mauritania aquifer in Africa secondly the 40 years experience of the Genevois aquifer between France and Switzerland in Europe, and finally the developments of the Guarani aquifer in South America. The session will bring together representatives from the three basins on these aquifers to exchange experiences, lessons learned, relevant committees and other institutional arrangements, data sharing, stakeholder participation and peace building opportunities. It is expected that this session will mark the beginning of a longer term collaboration between these three different transboundary aquifer treaties.
This session will have a particular focus on the BASM which has had major developments in the last two years and in particular to join surface water and groundwater governance.";"First part approx 50'.
The session opens with a piece/video from the symphony Voice of the River Voice of Peace. 2'
Introductory presentation by the Secretary General. OMVG 2'
Introductory words from the two facilitators (GWH, UNECE,) 2'

Transboundary Aquifers Roundtable
o BASM presentation (Representatives of the working group of the four BASM countries)
Speakers from Mauritania, Senegal, Guinea Bissau and Gambia - 12' (3'/pers)
The 2 High Commissioners of the transboundary basin organizations (OMVG and OMVS) present their commitment to project management - 6' (3'/pers)
World Bank its appreciation / interest of the project - 3' (3'/pers)
EU 3' (3'/PERS)
Summary of facilitators - 3' (3'/pers)

o Presentation of Genevois
Presentation of Geneva 40 years of cooperation Project Director - 5' o Presentation of Guarani
o Presentation of the Guarani 2 representatives of the aquifer
Presentations of the work and the situation of the development of the Guarani - 5' o Facilitator's summary - 3
o Summary of the facilitator group - 3'.
Part 2 (approx 30')
Round table Intercontinental exchange of experiences (Representatives of BASM, Guarani and Genevois, IGRAC, UNESCO, OSS)
o Launching of the UNESCO Session - 2 minutes
o Elements to consider in this exchange BASM, Guarani and Genevois, and IGRAC -12' (3'/pers)
o Interaction with the audience led by UNESCO - 10' o Experiences and conclusion
o Experiences and conclusion UNESCO and OSS - 4' (2'/pers)
3rd part - conclusions approx 10' (2'/pers)
Considerations of the 4 Ministers of the Mauritanian-Senegalese Basin 8' (2' x4) 
 ";Transboundary Aquifers | Good governance and Transboundary treaties | Water security | Development of the Senegal-Mauritania Aquifer Basin (SMAB) | Joint management of groundwater and surface water | Lessons learned and intercontinental exchanges of experiences;Geneva Water Hub AU NOM DE Ababacar Ndao, Secrétaire Général OMVG;90'
High-Level Panel;HLP24;New perspectives on droughts in a time of climate change;Tuesday 22nd of March from 10.45 to 12.15;Tuesday 22nd of March from 10.45 to 12.15;Room 205;"What are the new perspectives on drought in a time of climate change? Drought is often compared with other natural hazards such as floods, storms, and wildfires. However, unlike these hazards, drought is often a so-called hidden risk, meaning that its onset is not perceived until drought conditions are already having an impact. 

In many countries worldwide and as a result of climate change, droughts are becoming more severe with higher negative and large-scale impacts. Also, incidences of severe heat waves and short-term dryness (flash droughts) seem to increase. The session objective is to look at the developments in droughts in a time of climate change and how that may change our perspectives on dealing with the increasing issue. 

The keynote speech will introduce the different types of drought events, and how the frequency, magnitude and severity are changing due to changing climate (evolution of droughts, its definition and identification). Representatives of different international organizations will be invited to present and discuss management principles formulated to guide and support decision-makers in dealing with droughts. Specific attention will be paid to the intrinsic nature of drought as cross-border (with specific attention to the role of groundwater in dealing with droughts), cross-sectoral and cross-institutional. The HELP Flagship report on drought will also be launched during the event. It suggests ten guiding principles for effective drought management. Finally, those principles will guide the discussion with panel members. Regional and national representatives will look back at those principles and reflect on what these principles concretely mean for their own country and what steps are needed to address the full range of risks and impacts associated with shifting and dynamic hydrologic cycles. By linking principles collected from experiences worldwide to local experiences, an interaction is started that leads to mutual influence to cater for the developments that climate change brings. This will lead to conclusions and take-home messages on how climate change influences droughts, what mechanisms are in place to mitigate the impacts of droughts on livelihoods and what steps might be needed to facilitate their implementation.

The session targets influential leaders and decision-makers from government, business, and civil society who are dealing with droughts.";"FINAL PROGRAM 

Moderator: Mr. Henk Ovink, Special Envoy for International Water Affairs, Dutch ministry of Infrastructure and Water Management 

5min – Welcome words, Dr. Han, High-level Experts and Leaders Panel on Water and Disasters (HELP) 

10min – Keynote speech by the World Meteorological Organization 
Mr. Johannes Cullman, Director of the Climate and Water Department at World Meteorological Organization at the World Meteorological Organisation (WMO / IMDP) 

25min – Effective drought management for present and future challenges: two perspectives 
•	Ms. Chloë Oliver Viola, Senior Water Supply and Sanitation Specialist for the World Bank Group's Water Global Practice
•	Mr. Abou Amani, Director of the Division of Water Sciences, Secretary of the Intergovernmental Hydrological Programme (IHP)

10min – Releasing the HELP Flagship Report ‘Guiding Principles for Drought Risk Management under a Changing Climate’
Mr. Eelco van Beek, Expert Advisor at Deltares
Video and short presentation highlighting 12 Guiding Principles developed in the report as an efficient way to tackle those new perspectives on drought.

35min – Panel discussion 
“Dealing with drought: how do we translate those principles into actions at the local and regional level?”
•     Mr. Harunobu Nagai, Deputy Director General, Water Resources Department, Water and 
Disaster Management Bureau, Ministry of Land, Infrastructure, Transport and Tourism of Japan 
•     Dr. Issoufou MAIGARY, Expert Hydrologist, Permanent Interstate Committee for Drought Control in the Sahel
•     Mr. Tomás Sancho, Deputy Director for Infrastructures and Public Hydraulic Domain, Spanish Ministry for the Ecological Transition and the Demographic Challenge.

5min – Closing of the session ";National Water Sector Policies | Climate change adaptation and mitigation | Water security | Innovative financing | Nationally determined contributions;Islamic Development Bank (IsDB), Multilateral Development Bank ;90'
High-Level Panel;HLP25;Water-Energy-Food-Environment Nexus;Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Auditorium ;"What are the new perspectives on drought in a time of climate change ? Drought is often compared with other natural hazards such as floods, storms, and wildfires. However, unlike these hazards, drought is often a so-called hidden risk, meaning that its onset is not perceived until drought conditions are already having an impact. In many countries worldwide and as a result of climate change, droughts are becoming more severe with higher negative and large-scale impacts. Also, incidences of severe heat waves and short-term dryness (flash droughts) seem to increase. 

The session objective is to look at the developments in droughts in a time of climate change and how that may change our perspectives on dealing with the increasing issue. 

The keynote speech will introduce the different types of drought events, and how the frequency, magnitude and severity are changing due to changing climate (evolution of droughts, its definition and identification).  

Representatives of different international organizations will be invited to present and discuss management principles formulated to guide and support decision-makers in dealing with droughts. Specific attention will be paid to the intrinsic nature of drought as cross-border (with specific attention to the role of groundwater in dealing with droughts), cross-sectoral and cross-institutional. 

The HELP Flagship report on drought will also be launched during the event. It suggests ten guiding principles for effective drought management. 

Finally, those principles will guide the discussion with panel members. Local government representatives will look back at those principles and reflect on what these principles  concretely mean for their own country and what steps are needed to address the full range of risks and impacts associated with shifting and dynamic hydrologic cycles. By linking principles collected from experiences worldwide to local experiences, an interaction is started that leads to mutual influence to cater for the developments that climate change brings. 

This will lead to conclusions and take-home messages on how climate change influences droughts, what mechanisms are in place to mitigate the impacts of droughts on livelihoods and what steps might be needed to facilitate their implementation.
";"5min – Welcome and Opening remarks 

10min – Keynote speech by the World Meteorological Organization (WMO / IDMP)
Droughts are evolving. The word “drought” itself presents a challenge, as drought is understood and experienced differently depending on a range of socio-economic, geographic and cultural factors, and drought definitions are evolving. What are the new perspectives on drought, in a time of climate change ? 

The speech will also highlight the need for collaboration and knowledge sharing to tackle the drought challenges, due to the intrinsic cross-borders and cross-sectoral nature of droughts.

20min – Effective drought management for present and future challenges
In the last years, several international organisations have been looking at guiding principles and best practices for drought management. What are the impacts of drought and how are they impacted as climate change effects unfold? And how can we ensure effective drought management in the long-term, aligning with the Global Agenda’s (e.g. SDG’s or the Sendai Framework) ? 
Three pitches will look at different aspects for effective drought management, namely: 
cross-borders, highlighted through the impact on groundwater, by UNESCO (TBC) 
cross-sectoral, looking at the nexus between drought and the impact on biodiversity and land-use, by UNCCD (TBC)
cross-institutional, looking on effective governance, by World Bank (TBC)

10min – Releasing the HELP Flagship report on drought 
Video and short presentation highlighting 10 Guiding Principles developed in the report as an efficient way to tackle those new perspectives on drought. 

30min – Dealing with drought: how to act at the local level ?
Those principles and best practices are formulated to support management at the local level. How are they implemented and what is needed to bring it one step further? And do they suffice given the climate change developments? Interventions from decision-makers at the local (or regional) level, with cases from the Sahel region, Middle-East, North America and Europe. 

10min – Closing remarks";Drought | Impacts  | Climate Change | Governance | Resilience;"Deltares (Research Institute) /
The Netherlands Ministry of Infrastructure and Water management ";90'
Special Session;HLP27;Global Observatory on Water and Peace, and its regional partner the Pole Eau Dakar;Tuesday 22nd of March from 10.45 to 12.15;Tuesday 22nd of March from 10.45 to 12.15;Room 202;"The Special session on the Global Observatory for Water and Peace will facilitate dialogue between politicians, diplomats, actors from the water as well as from the peace and security sector, and will present the Pole Eau Dakar- the West-African regional partner to the Global Observatory for Water and Peace. 

Guiding questions:
 - How the development of a network of like-minded actors that put the emphasis on neutrality, multilateralism and science-policy interface like the GOWP can contribute to the Water and Peace agenda?
 - What are the developments to date globally, regionally and nationally in terms of endorsing and using the potential of water for better cooperation ?
- How can the safe space assist in bridging different perspectives of a water related tension and in the use of water for peacebuilding? 
- How can bottom-up approaches be better integrated into the water and peace dialogue and how can the GOWP contribute to strengthen this approach?
- How the PED will assure the follow-up – in particular in Africa-  of the major initiatives in Dakar22 , and  report these developments to the 2023 UN water conference.";"The session starts with an opening by Dr. Danilo Türk, former President of Slovenia and Chair of the Global High-Level Panel on Water and Peace (3’), and an intervention by the Senegal Minister of Water and Sanitation, Mr. Serigne Mbaye Thiam (3’)

It is directly followed by a video (5’) on the Global Observatory for Water and Peace and its report. 

A first High-Level Panel roundtable among the four panels, and representatives of Spain, Finland and Switzerland will be moderated by Dr. Danilo Turk as chairman of the Global High Level Panel on Water and Peace to share their reflections on the pertinence of the GOWP to their work, and how its report could be of use to them, as all jointly prepare for the 2023 UN conference, and beyond to meet the challenges of the 21st century on transboundary waters  (30’)
 - Representative of High-Level Panel on Water (4’)
 - Representative of Water and Climate Coalition (4’)
-  Representative of the High-Level Panel on Water and Disasters (4’)
- Spain (4’)
 - Finland (4’)
- Switzerland (4’)
- Representative of the African Ministers’ Council on Water (AMCOW) (4’)

The transition to the second panel will be through the introduction of  GWH director of the Symphony “Voices of the People, Way of Peace / Voix du Fleuve, Voie de la Paix”, a musical piece composed along the Senegal River to promote the voice of riparian populations. (7’)

The project is led together with OMVS leaders, musical personalities and experts in water management and climate change adaptation, focusing on listening to local populations and creating local jobs to strengthen peace in the basin. 

The second part of the session will focus on the Pole Eau Dakar, the west-African regional partner to the GOWP and an initiative set up by the Ministry of Water and Sanitation.  The session will be opened by a presentation of the Pole Eau Dakar  video or PowerPoint)  (7’)

Following the presentation, the GWH will moderate a second panel including decision makers, youth and civil society representatives. The moderator will invite the panelists to share their reflections regarding the potential for PED, to jointly follow up on the implementation of the Forum recommendations, given its structure and vision, and role as a regional partner of the GOWP, using the analytic and diplomatic skills of its global partners. 
-	High Commissioner of the OMVS (3’)
-	High Commissioner of the OMVG (3’)
-	Executive Secretary of the Forum  (3’)
-	Representative of Senegal Ministry of ECOWAS (3’)
-      Representative of civil society, Mr. Jean Bosco (3’)
-      Youth Representative (3’)
- Representative of the universities and researchers (3’)

Conclusions will be made by the moderator, GWH (5’) , and Minister Thiam (2’)
";"Analytic & Diplomatic skills, of the recent years concerning key elements for water and peace | Multistakeholder dialogue on water and peace | Perspectives of the global observatory for the future | Inclusive and federative approach | Follow-up by the Pôle Eau Dakar of the developments of Dakar Water Forum 2022

";Geneva Water Hub ;90'
Special Session;SS01;The Nature for Water Facility launch event: enabling local champions to deliver watershed NbS investments ;Monday 21st of March from 14.00 to 15.30;Monday 21st of March from 14.00 to 15.30;Room 11;"Objective:
This is the public launch session for the Nature for Water Facility, a technical assistance facility designed to provide a suite of Nature-based Solutions (NbS) consultancy services for water security.  The session will highlight why NbS matter, provide case studies of their successful impact, describe the value proposition of this new program, and showcase how members of the global water sector community can partner and deliver on-the-ground watershed results. 

Session Description:
Nature-based Solutions – such as reforestation, landscape restoration, and agricultural best management practices – offer promising avenues for driving catchment health and water security outcomes. They also help deliver meaningful co-benefits such as sustainable livelihoods, biodiversity protection, and carbon sequestration.

However, despite growing interest in mainstreaming NbS into the water sector, they remain <0.1% of annual global investment spend. This is partially driven by a market failure in the availability of technical assistance to equip local champions with the necessary expertise to originate, design, and execute watershed investment programs.

The Nature Conservancy (a global environmental non-profit) and Pegasys (an Africa-based sustainable infrastructure consultancy) are pleased to use this Special Session as the official launch the Nature for Water Facility. This four-year program is designed to bridge the 'nature gap' by providing a suite of NbS consultancy services to local clients seeking to build out watershed investment programs'. ";"1)	Welcome & Water Security and the global potential for NbS – Andrea Erickson + Video – 5 minutes
2)	NbS in action: connecting the case of the Greater Cape Town Water Fund to Kruger to Canyons – Mayor Geordin Hill-Lewis, Louise Stafford, & Nicholas Theron – 20 min
3)	Enabling locally to deliver globally: Launching the Nature for Water Facility - Justus and Mike in conversation – 20 min
o	Will be interspersed with 1 minute videos for first round of grantee projects
4)	Panel discussion – 40 min, moderated by Andrea
5)	Session wrap-up & invitation to collaboration – Andrea Erickson – 5 min
";Water security | Nature-based Solutions | Partnership | Watershed | Investment;The Nature Conservancy;90'
Special Session;SS02;Territorialization of policies: water and agro-ecology at the service of rural development and the Agenda 2030;Tuesday 22nd of March from 9.00 to 10.30;Tuesday 22nd of March from 9.00 to 10.30;Room 13;"Rural maldevelopment, rising climate problems, degradation of natural resources, water, food and socio-political insecurity... The 2020-2030 decade will be decisive (MDGs, climate action...). We need to change our way of thinking, we need to build differently.
Building differently means moving from not doing (neglecting the rural world) or ""doing"" (top-down, silo-based, technocratic actions and policies) to ""doing with"": with people, with nature and with territories. 
Providing answers that meet the challenges requires more living soil, more agronomy, more water and more mobilization and investment. These are central issues, political in the noble sense of the term, which require new long-term visions, systemic analyses and territorialized approaches. 
The special session follows two international meetings ""on the road to Dakar"", organized in October 2021 (7th edition of the seminar on water and food security in West Africa and the Mediterranean -SESAME- and the Parmenides Conference of Bari on the management of watersheds in the Mediterranean). Based on their conclusions, it aims to :
- to highlight the elements of long-term vision and, through concrete examples, the possible contents and scope of ""building differently
- to propose the elements of policies implementing the levers of a transition at different territorial scales,
- to bring out political messages that will contribute to the success of the Forum and its high-level panels.";"9:00-9:15: Introduction. 
Welcome by M Aït Kadi, moderator of the session 
Synthesis by G Benoit of the main conclusions of the SESAME and Parmenides seminars

9:15-10:00: Examples of territorial projects and territorialization of policies
- Ibrahim Rissa Ixa. Water and security in the Aïr massif and the Agadez region, Niger
- Céline Hugodot. Water and agriculture project of the Gignac canal, France
- Tatiana Motta. Renaissance Program - Jacarei Alliance for Forest, Water and Population, Brazil 
- Ali Bety Territorialization of policies, water and rural development, Niger 
Discussion

10:00-10:25: Panel chaired by Alain Moulinier
Panelists: Akiça Bahri (SESAME 7 panel chair), Sylvain Berton, ROPPA, Miguel Polo, Faouzi Bekkaoui

10:25-10:30: Conclusions";Territory | water and soil | agro-ecology | rural development | policies;General Council for Food, Agriculture and Rural Areas, Ministry of Agriculture and Food;90'
Special Session;SS03;Accurately assess the impacts of its projects, policies or strategies on the 17 SDGs with the Water4allSDGs application;Tuesday 22nd of March from 9.00 to 10.30;Tuesday 22nd of March from 9.00 to 10.30;Room 202;"The session will present the application used by the Dakar 2022 Jury to evaluate the contributions of water projects to all 17 SDGs and will conclude with it being made available online for free use by all water stakeholders worldwide. 
The Dakar Forum is a key moment to promote sustainable development and facilitate the achievement of the ambitions of the 2030 Agenda and its 17 SDGs.  Its thematic program is structured according to the SDGs. However, few actors use them in an operational way because their apparent complexity puts them off. This special session will bring the SDGs to life for participants by showing them how to easily assess the impacts of water projects, policies and strategies on the SDGs. Users from different parts of the world and of different types will share their experiences and thus talk about the SDGs in a concrete way.
The objectives of the session are to make the SDGs more concrete to water actors, to show the relevance of the Water4allSDGs application to use them in an operational way and to launch its free online availability worldwide on the websites of the 3 organizations hosting the session.";"5 mn: presentation of the special session and its progress

10 mn: do the actions and policies really contribute to the SDGs?
            Reminder of the 2030 Agenda and the statistical monitoring of the 232 indicators]
            Need to reduce perceptions of complexity and vagueness]
            Water4allSDGs: a method to easily assess impact on the SDGs

20 min: presentation of the Water4allSDGs web application
           Demonstration of use
           Presentation of the types of results on an example

20 min: international panel of users who have experienced the application
           Feedback, suggestions for improvement

25 mn: debate with the audience

5 mn: ceremony to put the bilingual application online with a playful presentation";Projects, policies and strategies | SDGs - Sustainable Development Goals | Agenda 2030 | Impact assessment tool | Decision support ;French Water Partnership with World Water Council and Dakar Forum Secretariat;90'
Special Session;SS04;Making invisible visible: Groundwater Catalogue for informed policy development and management interventions - UPDATE;Tuesday 22nd of March from 10.45 to 12.15;Tuesday 22nd of March from 10.45 to 12.15;Room 13;"The groundwater governance and management process involve identifying the required legal, regulatory, and institutional arrangements to establish public guardianship and collective responsibility for groundwater resources, and to introduce technical management measures with stakeholder integration and cross-sector coordination. Due to the diversity and complexity of water problems, it is often challenging to identify the role of groundwater and adequately incorporate it in the decision-making process. Moreover, policy makers and managers do not always have a sufficient overview of tools, measures and instruments that could be applied in specific and complex issues. 
This special session will be about strengthening interface science-policy-practice interface using newly developed Catalogue to facilitate this process.
The Catalogue on Groundwater Management is meant for a  better provision of information on groundwater management tools,  measures and instruments, encompassing a supply and demand, groundwater protection and  stakeholder participation. The catalogue will enable policy- and decisionmakers to better explore suitable solutions for complex groundwater issues, based on factsheets, case studies and references. 
Objective of the session is to actively involve groundwater policy- and decision makers in development and verification of the Catalogue.  This on-site, interactive session is necessary to attract future co-developers and users of the Catalogue. The outcome of the session will provide content necessary for the continuity  of the process. Eventually, the end-users will take ownership of the Catalogue and care for further improvements (similarly to Wikipedia).   ";"Opening remarks (A. Aureli – science; EPA Repr. ) - 10min
•	Introduction to a Groundwater Catalogue (including  an example on coastal aquifers) - 15 min
•	Introduction to a panel discussion, panelists, objectives – 5 min
•	Panel Topics  30min - on: 
o	Societal & environmental issues and the role of groundwater in the Catalogue 
o	Management Measures /Demand-side, Supply-side Management, Quality Protection, Stakeholders participation
o	Further technical development of the Catalogue (priorities, e.g. user interface, content improvement, user involvement…), similar developments      
•	Questions from the audience (probably on-line)  - 15 min. 
•	Concluding and closing – 10min               
     ";Groundwater management | Groundwater Catalogue | groundwater measures | groundwater regulations ;IGRAC  (Global Groundwater Centre of UNESCO);90'
Special Session;SS05;Enhance global collaboration in the field of WASH in response to the COVID-19 pandemic ;Tuesday 22nd of March from 9.00 to 10.30;Tuesday 22nd of March from 9.00 to 10.30;Room 12;"Develop a global  cooperation among governments (local authorities/mayors, parliamentarians, ministers, heads of governments/state), intergovernmental, bilateral and multilateral organizations, financial institutions and non-governmental organizations, water professionals, scientists, policy and decision makers, representatives of water-related sectors and draw  attention for  protection, prevention and preparation in water and wastewater management and services during pandemic situation to ensure access to safe water, to establish a platform encouraging WASH related entrepreneurial and operable capacity building activities, dissemination of WBE activities for urban settings especially in non-sewered low-income countries.
 Expected outcomes:
•	Allow combining the power of irrelevant parties to achieve WASH activities even under pandemic situations, 
•	Be prepared for possible future pandemics considering WASH requirements in low and middle income countries, especially in non-sewered areas
•	Dissemination of WASH requirements under pandemic situations
•	Increasing interest from financial funding agencies, scientific disciplines, water associations, globally active water operators and major actors to develop capacity building activities especially for training of specialists and setting-up infrastructure (e.g., labs) and logistics of WBE activities.
•	The outcomes of the session support the following Sustainable Development Goals;  1.A, 6.1, 6.A, 7.A, 9.1, 9.5, 17.7
";"-	Opening by moderator (5’) 

-	Presentations and QA at the end of each presentation  (6x10’+5x3’=75’)

-	Closing  by moderator (5’)";WASH | pandemic | water services | water availability | non-sewered areas | vulnerable communities;Turkish Water Institute (SUEN);90'
Special Session;SS06;Financing NbS: how to make bankable business cases for NbS in coastal resilience with public-private partnerships;Wednesday 23rd of March from 13.30 to 15.00;Wednesday 23rd of March from 13.30 to 15.00;Room 201;This event will guide you through innovative financing approaches for NbS in developing countries and provide practical guidelines to develop business models for NbS projects based on the market study commissioned by Team International Organisations.;30 min presentation market study on innovative financing mechanisms for NbS project in coastal resilience and 30 min panel discussion ;Financing Nbs in coastal resilience projects ;RVO;60'
Special Session;SS07;Building a shared understanding of water-security linkages in the Sahel ;Wednesday 23rd of March from 9.00 to 10.30;Wednesday 23rd of March from 9.00 to 10.30;Room 13;"The session will bring together stakeholders from both water and security sectors and scientists working on analyzing water-security linkages, with the objective of sharing insights and identifying next steps in actions to tackle water-related security risks based on a shared understanding of water-security linkages. With examples from ongoing work in Mali, Niger and Chad.

The session will start with an overview of potential links between water and security through different regions of the world. It will afterwards focus on how participative methods such as group model building can help stakeholders to develop a shared understanding of water-security linkages. Doing so, the session will share lessons from ongoing work in Mali, Niger and Chad and through the first steps of the projects. The session will afterwards explore how the shared understanding of the water-security linkages could support in designing effective policy responses to water insecurity related conflict risks. It will also discuss how to replicate this work in other areas where water and security may be interlinked. The audience will be asked to actively contribute with their experience and engage in the discussion. 
";"5min – Welcome and Opening words 
10min – Keynote on the link between water and security
20min - Building a shared understanding of water-security linkages: the case of Mali, Niger and Chad
Presentation of the main steps and lessons-learned from the ongoing work, by the local partners
15min – Towards designing effective policy responses to water insecurity related conflict risks (panel discussion)
10min - Concluding remarks
";Joint analysis | water-security linkages | cross-sectoral cooperation | Sahel;Deltares (Research institute);60'
